"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"082044","Lascari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3703,"e","dato stimato"
"083037","Leni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",677,"e","dato stimato"
"089011","Lentini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",21423,"e","dato stimato"
"086011","Leonforte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12183,"e","dato stimato"
"082045","Lercara Friddi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6113,"e","dato stimato"
"083042","Longi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1301,"e","dato stimato"
"083043","Malfa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1001,"e","dato stimato"
"083024","Forza d'Agrò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",845,"e","dato stimato"
"085007","Gela","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",70811,"e","dato stimato"
"082037","Geraci Siculo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1697,"e","dato stimato"
"082038","Giardinello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2241,"e","dato stimato"
"082041","Gratteri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",850,"e","dato stimato"
"082042","Isnello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1285,"e","dato stimato"
"082043","Isola delle Femmine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7039,"e","dato stimato"
"088005","Ispica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",16386,"e","dato stimato"
"083038","Letojanni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2914,"e","dato stimato"
"083039","Librizzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1570,"e","dato stimato"
"084021","Licata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",34189,"e","dato stimato"
"087020","Licodia Eubea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2735,"e","dato stimato"
"083040","Limina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",727,"e","dato stimato"
"087021","Linguaglossa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4963,"e","dato stimato"
"083041","Lipari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12685,"e","dato stimato"
"084022","Lucca Sicula","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1697,"e","dato stimato"
"087022","Maletto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3557,"e","dato stimato"
"083044","Malvagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",608,"e","dato stimato"
"083045","Mandanici","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",493,"e","dato stimato"
"087057","Maniace","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3758,"e","dato stimato"
"085008","Marianopoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1561,"e","dato stimato"
"081011","Marsala","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",79833,"e","dato stimato"
"087023","Mascali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",14397,"e","dato stimato"
"087024","Mascalucia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",32105,"e","dato stimato"
"081012","Mazara del Vallo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",50117,"e","dato stimato"
"085009","Mazzarino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10827,"e","dato stimato"
"083046","Mazzarrà Sant'Andrea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1399,"e","dato stimato"
"087056","Mazzarrone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3987,"e","dato stimato"
